waypoint1	waypoint2	distance_m	duration_s
Sector 1, Chandigarh	Sector 2, Chandigarh	3559	427
Sector 1, Chandigarh	Sector 3, Chandigarh	2032	299
Sector 1, Chandigarh	Sector 4, Chandigarh	1278	199
Sector 1, Chandigarh	Sector 5, Chandigarh	948	126
Sector 1, Chandigarh	Sector 6, Chandigarh	3430	411
Sector 1, Chandigarh	Sector 7, Chandigarh	2890	359
Sector 1, Chandigarh	Sector 8, Chandigarh	2082	269
Sector 1, Chandigarh	Sector 9, Chandigarh	2181	275
Sector 1, Chandigarh	Sector 10, Chandigarh	3144	354
Sector 1, Chandigarh	Sector 11, Chandigarh	3845	414
Sector 1, Chandigarh	Sector 12, Chandigarh	5161	638
Sector 1, Chandigarh	Sector 13, Chandigarh	6404	850
Sector 1, Chandigarh	Sector 14, Chandigarh	6513	820
Sector 1, Chandigarh	Sector 15, Chandigarh	5110	581
Sector 1, Chandigarh	Sector 16, Chandigarh	4411	492
Sector 1, Chandigarh	Sector 17, Chandigarh	4375	510
Sector 1, Chandigarh	Sector 18, Chandigarh	3693	506
Sector 1, Chandigarh	Sector 19, Chandigarh	3885	496
Sector 1, Chandigarh	Sector 20, Chandigarh	5543	786
Sector 1, Chandigarh	Sector 21, Chandigarh	4868	726
Sector 1, Chandigarh	Sector 22, Chandigarh	4753	730
Sector 1, Chandigarh	Sector 23, Chandigarh	5988	680
Sector 1, Chandigarh	Sector 24, Chandigarh	6515	780
Sector 1, Chandigarh	Sector 25, Chandigarh	7480	893
Sector 1, Chandigarh	Sector 26, Chandigarh	3252	408
Sector 1, Chandigarh	Sector 27, Chandigarh	4679	595
Sector 1, Chandigarh	Sector 28, Chandigarh	5362	695
Sector 1, Chandigarh	Sector 29, Chandigarh	6838	835
Sector 1, Chandigarh	Sector 30, Chandigarh	6087	782
Sector 1, Chandigarh	Sector 31, Chandigarh	8670	1120
Sector 1, Chandigarh	Sector 32, Chandigarh	7424	970
Sector 1, Chandigarh	Sector 33, Chandigarh	7357	1002
Sector 1, Chandigarh	Sector 34, Chandigarh	6218	937
Sector 1, Chandigarh	Sector 35, Chandigarh	7123	873
Sector 1, Chandigarh	Sector 36, Chandigarh	7406	903
Sector 1, Chandigarh	Sector 37, Chandigarh	7917	961
Sector 1, Chandigarh	Sector 38, Chandigarh	9100	1080
Sector 1, Chandigarh	Sector 39, Chandigarh	10689	1240
Sector 1, Chandigarh	Sector 40, Chandigarh	9852	1148
Sector 1, Chandigarh	Sector 41, Chandigarh	9386	1120
Sector 1, Chandigarh	Sector 42, Chandigarh	8713	1052
Sector 1, Chandigarh	Sector 43, Chandigarh	8514	1060
Sector 1, Chandigarh	Sector 44, Chandigarh	7736	1194
Sector 1, Chandigarh	Sector 45, Chandigarh	8139	1115
Sector 2, Chandigarh	Sector 3, Chandigarh	1408	243
Sector 2, Chandigarh	Sector 4, Chandigarh	2280	285
Sector 2, Chandigarh	Sector 5, Chandigarh	3011	353
Sector 2, Chandigarh	Sector 6, Chandigarh	5030	575
Sector 7, Chandigarh	Sector 2, Chandigarh	4491	523
Sector 2, Chandigarh	Sector 8, Chandigarh	3392	425
Sector 2, Chandigarh	Sector 9, Chandigarh	2659	352
Sector 2, Chandigarh	Sector 10, Chandigarh	1824	252
Sector 2, Chandigarh	Sector 11, Chandigarh	1649	215
Sector 12, Chandigarh	Sector 2, Chandigarh	2218	360
Sector 2, Chandigarh	Sector 13, Chandigarh	8004	1014
Sector 2, Chandigarh	Sector 14, Chandigarh	3445	567
Sector 15, Chandigarh	Sector 2, Chandigarh	2913	382
Sector 16, Chandigarh	Sector 2, Chandigarh	3318	442
Sector 17, Chandigarh	Sector 2, Chandigarh	3909	481
Sector 2, Chandigarh	Sector 18, Chandigarh	4929	642
Sector 2, Chandigarh	Sector 19, Chandigarh	5486	660
Sector 20, Chandigarh	Sector 2, Chandigarh	7143	950
Sector 21, Chandigarh	Sector 2, Chandigarh	6199	835
Sector 22, Chandigarh	Sector 2, Chandigarh	5540	743
Sector 2, Chandigarh	Sector 23, Chandigarh	4439	558
Sector 2, Chandigarh	Sector 24, Chandigarh	4318	581
Sector 25, Chandigarh	Sector 2, Chandigarh	5283	694
Sector 26, Chandigarh	Sector 2, Chandigarh	4852	572
Sector 27, Chandigarh	Sector 2, Chandigarh	6279	759
Sector 2, Chandigarh	Sector 28, Chandigarh	6963	859
Sector 29, Chandigarh	Sector 2, Chandigarh	8439	999
Sector 2, Chandigarh	Sector 30, Chandigarh	7687	946
Sector 2, Chandigarh	Sector 31, Chandigarh	10270	1284
Sector 2, Chandigarh	Sector 32, Chandigarh	9025	1134
Sector 33, Chandigarh	Sector 2, Chandigarh	8958	1166
Sector 34, Chandigarh	Sector 2, Chandigarh	7583	996
Sector 35, Chandigarh	Sector 2, Chandigarh	6657	844
Sector 36, Chandigarh	Sector 2, Chandigarh	5691	737
Sector 37, Chandigarh	Sector 2, Chandigarh	5720	763
Sector 2, Chandigarh	Sector 38, Chandigarh	6903	881
Sector 2, Chandigarh	Sector 39, Chandigarh	8492	1041
Sector 40, Chandigarh	Sector 2, Chandigarh	7656	949
Sector 2, Chandigarh	Sector 41, Chandigarh	7189	921
Sector 42, Chandigarh	Sector 2, Chandigarh	7401	909
Sector 43, Chandigarh	Sector 2, Chandigarh	7997	1042
Sector 2, Chandigarh	Sector 44, Chandigarh	9048	1212
Sector 2, Chandigarh	Sector 45, Chandigarh	9719	1246
Sector 3, Chandigarh	Sector 4, Chandigarh	1172	215
Sector 5, Chandigarh	Sector 3, Chandigarh	1889	282
Sector 6, Chandigarh	Sector 3, Chandigarh	4427	528
Sector 7, Chandigarh	Sector 3, Chandigarh	3888	476
Sector 3, Chandigarh	Sector 8, Chandigarh	2789	377
Sector 9, Chandigarh	Sector 3, Chandigarh	2056	305
Sector 3, Chandigarh	Sector 10, Chandigarh	2075	278
Sector 3, Chandigarh	Sector 11, Chandigarh	2308	282
Sector 12, Chandigarh	Sector 3, Chandigarh	3624	506
Sector 13, Chandigarh	Sector 3, Chandigarh	7401	967
Sector 14, Chandigarh	Sector 3, Chandigarh	4976	688
Sector 15, Chandigarh	Sector 3, Chandigarh	3573	449
Sector 16, Chandigarh	Sector 3, Chandigarh	3342	416
Sector 17, Chandigarh	Sector 3, Chandigarh	3306	434
Sector 18, Chandigarh	Sector 3, Chandigarh	4326	594
Sector 3, Chandigarh	Sector 19, Chandigarh	4883	613
Sector 20, Chandigarh	Sector 3, Chandigarh	6541	903
Sector 21, Chandigarh	Sector 3, Chandigarh	5597	788
Sector 22, Chandigarh	Sector 3, Chandigarh	4938	696
Sector 23, Chandigarh	Sector 3, Chandigarh	4919	604
Sector 3, Chandigarh	Sector 24, Chandigarh	4977	648
Sector 25, Chandigarh	Sector 3, Chandigarh	5943	761
Sector 26, Chandigarh	Sector 3, Chandigarh	4249	525
Sector 27, Chandigarh	Sector 3, Chandigarh	5677	712
